"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\utils\expressMocks.ts", "TypeScript", 0, -15, 0, 0, -1, -2, -18
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\utils\validators.tsx", "TypeScript JSX", -10, 0, 0, 0, 0, -1, -11
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\api\index.ts", "TypeScript", 0, 6, 0, 0, 0, 3, 9
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\components\Button.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 4, 21
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\components\Footer.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 3, 10
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\components\MainLayout.tsx", "TypeScript JSX", 13, 0, 0, 0, 1, 3, 17
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\components\Navbar.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 3, 19
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\components\ProtectedRoute.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 6, 19
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\components\SideBar.tsx", "TypeScript JSX", 82, 0, 0, 0, 5, 16, 103
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\main.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 2, 14
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\Amigos.tsx", "TypeScript JSX", 338, 0, 0, 0, 6, 28, 372
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\Degustaciones.tsx", "TypeScript JSX", 653, 0, 0, 0, 53, 64, 770
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\Galardones.tsx", "TypeScript JSX", 159, 0, 0, 0, 3, 17, 179
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\Home.tsx", "TypeScript JSX", 317, 0, 0, 0, 47, 62, 426
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\Login.tsx", "TypeScript JSX", 79, 0, 0, 0, 1, 10, 90
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\Profile.tsx", "TypeScript JSX", 292, 0, 0, 0, 4, 33, 329
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\Register.tsx", "TypeScript JSX", 235, 0, 0, 0, 4, 27, 266
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\pages\VerifyEmail.tsx", "TypeScript JSX", 48, 0, 0, 0, 1, 6, 55
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\routes\AppRoutes.tsx", "TypeScript JSX", 63, 0, 0, 0, 1, 6, 70
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\styles\globals.css", "PostCSS", 0, 0, 6, 0, 0, 2, 8
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\frontend\src\utils\validators.ts", "TypeScript", 0, 10, 0, 0, 0, 1, 11
"Total", "-", 2315, -1833, 6, -68, -12, -237, 171
